JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458839.78604,13.953,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.181,Z,18.518,18.158,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.78788,13.947,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.189,Z,18.522,18.164,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.78971,13.927,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.196,Z,18.542,18.168,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.79154,13.944,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.204,Z,18.524,18.166,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.79337,13.937,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.212,Z,18.534,18.172,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.79517,13.925,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.220,Z,18.545,18.161,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.79700,13.928,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.229,Z,18.531,18.175,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.79884,13.912,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.238,Z,18.546,18.162,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.80065,13.920,0.013,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.246,Z,18.546,18.178,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
2458839.80249,13.918,0.014,,V,HMB,,UCAC4 296-008893,UCAC4 296-009008,,STANDARD MAG: C = 13.159  K = 12.814,0,1.256,Z,18.550,18.177,,ASASSN-V J060000.76-310027.83,VVS,STD,,,,
