HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457597.91975,2016-07-28.4225239,be,1.56,14.093,>14.093,99.990,8.785,1.774,V
2457598.91755,2016-07-29.4202885,be,1.51,16.034,13.665,0.025,13.118,0.297,V
2457598.91883,2016-07-29.4215759,be,1.54,15.975,13.641,0.025,13.416,0.315,V
2457598.92012,2016-07-29.4228651,be,1.50,16.119,13.623,0.022,13.642,0.275,V
2457605.91228,2016-08-05.4147621,be,1.44,16.230,13.609,0.019,13.821,0.249,V
2457605.91355,2016-08-05.4160399,be,1.48,16.224,13.653,0.020,13.254,0.251,V
2457605.91484,2016-08-05.4173245,be,1.42,16.235,13.624,0.020,13.616,0.247,V
2457607.90510,2016-08-07.4075042,be,1.53,16.209,13.639,0.020,13.437,0.254,V
2457607.90639,2016-08-07.4087930,be,1.49,16.194,13.650,0.021,13.307,0.257,V
2457607.90768,2016-08-07.4100912,be,1.58,16.201,13.636,0.021,13.468,0.255,V
2457609.89793,2016-08-09.4002480,be,1.48,16.223,13.655,0.020,13.239,0.250,V
2457609.89922,2016-08-09.4015460,be,1.50,16.249,13.605,0.019,13.857,0.245,V
2457609.90047,2016-08-09.4027957,be,1.45,16.216,13.638,0.020,13.452,0.251,V
2457612.89132,2016-08-12.3935208,be,1.75,16.187,13.638,0.021,13.454,0.258,V
2457612.89259,2016-08-12.3947775,be,1.86,16.209,13.613,0.020,13.758,0.254,V
2457612.89387,2016-08-12.3960642,be,1.80,16.241,13.660,0.020,13.178,0.246,V
2457616.89681,2016-08-16.3988268,be,1.42,16.104,13.635,0.022,13.478,0.279,V
2457616.89811,2016-08-16.4001243,be,1.44,16.212,13.668,0.021,13.083,0.252,V
2457616.89941,2016-08-16.4014212,be,1.47,16.156,13.652,0.022,13.278,0.266,V
2457617.87911,2016-08-17.3810795,be,1.51,15.942,13.565,0.024,14.389,0.324,V
2457617.88041,2016-08-17.3823754,be,1.51,15.869,13.614,0.027,13.745,0.346,V
